label,buiy,ui,exec,threads_req,pool_threads,par_entities,par_cost,dirty,frames,min_us,p50_us,p90_us,p99_us,mean_us
split_flatD_upd,1,flat_large,mt,8,8,4000,0,1,150,1504.9,1664.2,2312.4,2759.7,1814.0
split_textD_upd,1,text_large,mt,8,8,4000,0,1,150,417.5,502.4,644.1,989.4,529.4
split_textS_upd,1,text_large,mt,8,8,4000,0,0,150,265.3,306.2,365.7,686.4,318.6
tax_floorFlat_st,1,flat_large,st,1,1,4000,0,0,150,728.4,755.2,824.8,1185.7,782.3
tax_floorFlat_mt,1,flat_large,mt,1,1,4000,0,0,150,835.6,923.0,1106.0,1285.7,948.3
tax_bareHeavy_st,0,none,st,1,1,4000,3000,0,150,290756.4,294800.4,332502.9,367325.5,304165.2
tax_bareHeavy_mt,0,none,mt,1,1,4000,3000,0,150,289849.2,308808.5,324172.4,354505.7,307730.7
tax_floorFlat_st,1,flat_large,st,8,8,4000,0,0,150,672.2,863.5,981.6,1341.5,879.8
tax_floorFlat_mt,1,flat_large,mt,8,8,4000,0,0,150,869.6,990.7,1168.1,1449.6,1019.5
tax_bareHeavy_st,0,none,st,8,8,4000,3000,0,150,38424.8,43262.5,46763.7,48611.5,43150.1
tax_bareHeavy_mt,0,none,mt,8,8,4000,3000,0,150,38316.3,39319.9,40948.9,41914.8,39543.5
